Index,Address,Lat,Lon
0,10th & E St NW,38.8961162,-77.0259991
1,10th & Florida Ave NW,38.920534,-77.025992
2,10th & G St NW,38.8983209,-77.0259886
3,10th & K St NW,38.90253,-77.0259938
4,10th & Monroe St NE,38.9324632,-76.9926274
5,10th & U St NW,38.917007,-77.0259857
6,10th St & Constitution Ave NW,38.8921037,-77.0259613
7,10th St & L'Enfant Plaza SW,38.8839082,-77.0251514
8,11th & F St NW,38.8973435,-77.0270466
9,11th & H St NE,38.9002357,-76.991531
10,11th & K St NW,38.90281,-77.026899
11,11th & Kenyon St NW,38.9296718,-77.0277415
12,11th & M St NW,38.9055088,-77.0268297
13,11th & O St NW,38.9085726,-77.0270402
14,11th & S St NW,38.9140948,-77.0270455
15,12th & Army Navy Dr,38.8629241,-77.0518426
16,12th & Hayes St,38.8630233,-77.0592668
17,12th & Hayes St /  Pentagon City Metro,38.8627034,-77.0595253
18,12th & Irving St NE,38.9285907,-76.9906703
19,12th & L St NW,38.9037394,-77.0280934
20,12th & Newton St NE,38.933526,-76.991079
21,12th & U St NW,38.9170019,-77.0280891
22,12th St & Pennsylvania Ave SE,38.8823795,-76.990241
23,13th & D St NE,38.894777,-76.9883104
24,13th & H St NE,38.9001979,-76.9883115
25,13th & U St NW,38.9169977,-77.0296045
26,13th St & Eastern Ave,38.9869283,-77.029644
27,13th St & New York Ave NW,38.9002912,-77.0295883
28,14th & Belmont St NW,38.921086,-77.031873
29,14th & D St NW / Ronald Reagan Building,38.8938475,-77.0310363
30,14th & D St SE,38.8841038,-76.9855178
31,14th & G St NW,38.8983267,-77.0319388
32,14th & Girard St NW,38.925742,-77.032339
33,14th & Harvard St NW,38.9265708,-77.0324139
34,14th & Irving St NW,38.9287745,-77.0326404
35,14th & L St NW,38.9037396,-77.0319444
36,14th & R St NW,38.9126061,-77.0319494
37,14th & Rhode Island Ave NW,38.9088354,-77.0319462
38,14th & Upshur St NW,38.941867,-77.0327244
39,14th & V St NW,38.9181132,-77.0319544
40,14th St & Colorado Ave NW,38.9559719,-77.0334281
41,14th St & New York Ave NW,38.8993523,-77.031926
42,14th St & Spring Rd NW,38.9370752,-77.0327226
43,14th St Heights / 14th & Crittenden St NW,38.9212543,-77.0321787
44,15th & Crystal Dr,38.8601073,-77.0493393
45,15th & East Capitol St NE,38.889889,-76.984103
46,15th & Euclid St  NW,38.9233883,-77.0353209
47,15th & F St NE,38.896667,-76.983644
48,15th & Hayes St,38.8605037,-77.0599141
49,15th & K St NW,38.9025225,-77.033633
50,15th & L St NW,38.9037458,-77.0345694
51,15th & N Scott St,38.8903759,-77.0808479
52,15th & P St NW,38.9096506,-77.0345573
53,15th & W St NW,38.9191619,-77.034716
54,15th St & Massachusetts Ave SE,38.8871667,-76.9836458
55,16th & Harvard St NW,38.9258971,-77.0364607
56,16th & Irving St NW,38.9286821,-77.0364572
57,16th & K St NW,38.9025362,-77.0365343
58,16th & Q St SE / Anacostia HS,38.8700237,-76.9829543
59,16th & R St NW,38.9126037,-77.0365134
60,16th & U St NW,38.9169982,-77.036513
61,17th & Corcoran St NW,38.9118701,-77.0384855
62,17th & G St NW,38.8983299,-77.0394614
63,17th & K St NW,38.9025266,-77.0395111
64,17th & K St NW [formerly 17th & L St NW],38.9025266,-77.0395111
65,17th & K St NW / Farragut Square,38.9019574,-77.0389955
66,17th & Rhode Island Ave NW,38.906544,-77.038501
67,17th St & Independence Ave SW,38.8879378,-77.0402473
68,17th St & Massachusetts Ave NW,38.9079253,-77.0385034
69,18th & Bell St,38.857597,-77.0510943
70,18th & C St NW,38.8935359,-77.0417413
71,18th & Eads St.,38.8573619,-77.0530826
72,18th & Hayes St,38.8573168,-77.0564838
73,18th & M St NW,38.9056568,-77.0416876
74,18th & Monroe St NE,38.933102,-76.979614
75,18th & R St NW,38.9126074,-77.0416631
76,18th & Wyoming Ave NW,38.9187411,-77.0416636
77,18th St & Pennsylvania Ave NW,38.8995918,-77.041685
78,18th St & Rhode Island Ave NE,38.9276113,-76.9790624
79,18th St & Wyoming Ave NW,38.9187411,-77.0416636
80,19th & E Street NW,38.8954085,-77.043478
81,19th & East Capitol St SE,38.8897738,-76.977254
82,19th & G St NW,38.898331,-77.0434727
83,19th & K St NW,38.9025266,-77.0434552
84,19th & L St NW,38.9037466,-77.0434577
85,19th & New Hampshire Ave NW (Dupont Circle south),38.907743,-77.043655
86,19th St & Constitution Ave NW,38.8921101,-77.0434861
87,19th St & Pennsylvania Ave NW,38.9002149,-77.043466
88,1st & D St SE,38.8850754,-77.0058829
89,1st & H St NW,38.9001794,-77.0121628
90,1st & K St SE,38.8783942,-77.005882
91,1st & M St NE,38.905645,-77.0058775
92,1st & N St  SE,38.8746323,-77.0058976
93,1st & N ST SE,38.8746323,-77.0058976
94,1st & O St NW,38.908569,-77.012164
